region_id,crop,region_cn,related_assets,as_of,rain_30d_mm,rain_vs_season_pct,root_wetness,root_change_30d,state,point_count,source,baseline
cocoa_west_africa,可可,西非可可带,cc,2026-09-19,200.8475,-8.433583888486806,0.642857142857143,0.044285714285714484,季节常态,4,NASA POWER Daily API,2016年至上一完整年份的同季节窗口
coffee_brazil,咖啡,巴西咖啡带,kc,2026-09-19,54.17333333333333,87.77585210860772,0.3842857142857143,0.0019047619047618536,湿润关注,3,NASA POWER Daily API,2016年至上一完整年份的同季节窗口
sugar_india,白糖,印度糖区,sr,2026-09-19,209.225,-5.989530677809984,0.795,0.03642857142857148,季节常态,2,NASA POWER Daily API,2016年至上一完整年份的同季节窗口
sugar_brazil,白糖,巴西中南糖区,sr,2026-09-19,72.58000000000001,283.97037428911517,0.43357142857142855,0.021071428571428574,湿润关注,2,NASA POWER Daily API,2016年至上一完整年份的同季节窗口
sugar_thailand,白糖,泰国糖区,sr,2026-09-19,295.26000000000005,3.2982603447823777,0.8710714285714286,0.024642857142857078,季节常态,2,NASA POWER Daily API,2016年至上一完整年份的同季节窗口
