asset_id,trade_date,close,direction,status,b,atr14,delta,delta_source,structure_multiple,zone_low,zone_high,invalidation,distance_to_b_atr,signed_distance_to_b_atr,t1,t2,t3,ema_fast,ema_slow,history_rows,data_status,data_note,price_source
es,2026-09-22,7831.75,long,接近触发,7847.25,79.27033231693795,396.35166158468974,5×ATR回退,,7827.432416920766,7886.885166158469,7509.25,0.1955334303132228,-0.1955334303132228,8243.60166158469,8639.953323169379,9036.30498475407,7686.688001637151,7615.692908421966,1257,verified,结构完整,yahoo
nq,2026-09-22,31028.5,long,进入候选区,30862.75,490.2269752020549,2451.1348760102746,5×ATR回退,,30740.193256199487,31107.86348760103,28763.75,0.3381086892080622,0.3381086892080622,33313.88487601028,35765.01975202055,38216.154628030825,29630.741439763824,29342.12376052948,1257,verified,结构完整,yahoo
if,2026-09-22,4480.6,short,等待,4318.2,67.25811506028072,300.7999999999997,历史结构位,4.472322778157029,4284.57094246986,4335.01452876507,4584.0,2.414578521185853,-2.414578521185853,4017.4,3716.6000000000004,3415.8000000000006,4487.17497577222,4573.658862943503,2351,verified,结构完整,akshare_sina
hti,2026-09-21,4.3379998207092285,short,等待,4.170000076293945,0.08698304562634805,0.4349152281317403,5×ATR回退,,4.126508553480772,4.191745837700532,4.48199987411499,1.93140793364442,-1.93140793364442,3.735084848162205,3.3001696200304647,2.8652543918987243,4.372518183723044,4.523043239730008,1225,verified,结构完整,yahoo
zn,2026-09-22,106.0,short,进入候选区,106.0,0.46227735720854235,2.3113867860427115,5×ATR回退,,105.76886132139573,106.11556933930214,107.84375,0.0,-0.0,103.68861321395728,101.37722642791458,99.06583964187186,107.00178390954929,108.11633249139499,1257,verified,结构完整,yahoo
t,2026-09-22,109.615,long,进入候选区,109.6,0.0984859244383264,0.492429622191632,5×ATR回退,,109.57537851889042,109.64924296221916,109.3,0.1523060283542734,0.1523060283542734,110.09242962219163,110.58485924438325,111.07728886657489,109.45711740034415,109.33208100316693,2351,verified,结构完整,akshare_sina
gc,2026-09-22,4376.39990234375,long,等待,4755.0,104.17222122275427,493.7001953125,历史结构位,4.73926915945094,4728.9569446943115,4807.086110611377,4273.2998046875,3.634367139457257,-3.634367139457257,5248.7001953125,5742.400390625,6236.1005859375,4420.551779678076,4389.408707597569,1257,verified,结构完整,yahoo
si,2026-09-22,65.93199920654297,long,等待,71.16000366210938,1.5833586145269025,8.539993286132812,历史结构位,5.393593850300621,70.76416400847765,71.95168296937283,63.02000045776367,3.3018448300977608,-3.3018448300977608,79.69999694824219,88.239990234375,96.77998352050781,65.41720344253497,65.2613585258513,1256,verified,结构完整,yahoo
hg,2026-09-22,6.759500026702881,long,接近触发,6.805500030517578,0.11644836403375142,0.5822418201687571,5×ATR回退,,6.77638793950914,6.8637242125344535,6.281000137329102,0.39502490392535367,-0.39502490392535367,7.387741850686336,7.969983670855092,8.552225491023849,6.5693267541006,6.471992333394613,1257,verified,结构完整,yahoo
al,2026-09-22,24240.0,long,等待,24675.0,239.26791826373875,1265.0,历史结构位,5.286960363008733,24615.183020434066,24794.63395913187,23920.0,1.818045658425928,-1.818045658425928,25940.0,27205.0,28470.0,24175.741600309,23963.948447520095,5285,verified,结构完整,akshare_sina
