date,value
1961-06-30,3.703552393892414
1961-07-31,3.615313250149977
1961-08-31,3.7582539226135996
1961-09-29,3.699750413484311
1961-10-31,3.630795513551747
1961-11-30,3.809577693771198
1961-12-29,3.977799460842149
1962-01-31,3.8643649909250097
1962-02-28,3.714737781908279
1962-03-30,3.566279264688286
1962-04-30,3.6657826128066824
1962-05-31,3.5378698077937623
1962-06-29,3.721840254664385
1962-07-31,3.7167512667362272
1962-08-31,3.5674650752057238
1962-09-28,3.520529619702079
1962-10-31,3.4940096290843443
1962-11-30,3.53685784300302
1962-12-31,3.493417869991232
1963-01-31,3.648000999178075
1963-02-28,3.561906340927516
1963-03-29,3.587745409304345
1963-04-30,3.6457935300291497
1963-05-31,3.710914165788953
1963-06-28,3.725860272391569
1963-07-31,3.878270412206331
1963-08-30,3.8706803095777587
1963-09-30,3.8781995137725613
1963-10-31,3.883246034688333
1963-11-29,4.010214731699555
1963-12-31,4.047824007602391
1964-01-31,4.002216281298447
1964-02-28,4.027424227740483
1964-03-31,4.040273565960536
1964-04-30,4.030788725878647
1964-05-28,4.012859385756409
1964-06-30,3.977371122399956
1964-07-31,3.8512224319924506
1964-08-31,3.9381361203009346
1964-09-30,4.0199458271632995
1964-10-30,4.0265903880162695
1964-11-30,4.1727550531670445
1964-12-31,4.122271534102154
1965-01-29,3.9478135733384807
1965-02-26,4.040442350820109
1965-03-31,4.109607262282043
1965-04-30,4.119679713558343
1965-05-28,4.146705385586446
1965-06-30,4.093434542728577
1965-07-30,4.114762929068716
1965-08-31,4.188632643528037
1965-09-30,4.166528133954581
1965-10-29,4.2703063576488205
1965-11-30,4.350810845472775
1965-12-31,4.564662687142906
1966-01-31,4.551613838605934
1966-02-28,4.585890501041829
1966-03-31,4.493014195130977
1966-04-29,4.542975422762629
1966-05-31,4.653744799442327
1966-06-30,4.657702007362962
1966-07-29,4.739453301326571
1966-08-31,4.988570062250487
1966-09-30,4.866364764629391
1966-10-31,4.825900023651728
1966-11-30,4.841352429447003
1966-12-30,4.57666673056955
1967-01-31,4.435406481035301
1967-02-28,4.4598146347453795
1967-03-31,4.238473145696799
1967-04-28,4.244494469520313
1967-05-31,4.260146041308361
1967-06-30,4.555592459581132
1967-07-31,4.61053536966512
1967-08-31,4.6804095316798655
1967-09-29,4.741171114938884
1967-10-31,4.839930974093432
1967-11-30,4.963632901147947
1967-12-29,5.006836388354696
1968-01-31,4.791049043483372
1968-02-29,4.846869559955369
1968-03-29,4.87595736564772
1968-04-30,5.049369277334691
1968-05-31,5.083077926400731
1968-06-28,4.65722740029391
1968-07-31,4.27206073125151
1968-08-30,4.766244534687536
1968-09-30,4.781268763913766
1968-10-31,4.832126438252823
1968-11-29,4.976318633488168
1968-12-31,5.325102398491063
1969-01-31,5.246200587918956
1969-02-28,5.478014700856508
1969-03-28,5.17890138390712
1969-04-30,5.224361676000827
1969-05-29,5.414532348682751
1969-06-30,5.784708760402332
1969-07-31,6.037086901512134
1969-08-29,6.008695385937631
1969-09-30,6.469274814973489
1969-10-31,6.347714651141601
1969-11-28,6.150855166316165
1969-12-31,6.911898215224351
1970-01-30,6.611424855626088
1970-02-27,6.21022944762197
1970-03-31,5.821108641985271
1970-04-30,6.114677546712469
1970-05-29,6.14646325239057
1970-06-30,6.00403876613502
1970-07-31,5.86051313742034
1970-08-31,5.7532428049834605
1970-09-30,5.51354420161772
1970-10-30,5.405941593814671
1970-11-30,4.574044126603649
1970-12-31,4.78647395000919
1971-01-29,4.2403952189627905
1971-02-26,3.9797947696894598
1971-03-31,3.84826964788257
1971-04-30,4.65523028448248
1971-05-28,4.7472149043273895
1971-06-30,5.28166378476923
1971-07-30,5.33481293987675
1971-08-31,4.83531126329446
1971-09-30,4.83889460482905
1971-10-29,4.57224686051479
1971-11-30,4.53831994798777
1971-12-31,4.304736926858171
1972-01-31,4.392219801935689
1972-02-29,4.34220738541764
1972-03-30,4.79774241265716
1972-04-28,4.56987032550193
1972-05-31,4.49679888429597
1972-06-30,4.81792758276549
1972-07-31,4.68932426752416
1972-08-31,4.938453115043661
1972-09-29,5.00115800102757
1972-10-31,4.99749837548477
1972-11-30,4.9369004915748995
1972-12-29,5.09311187475514
1973-01-31,5.31743681787481
1973-02-28,5.577816719538038
1973-03-30,5.69937781749472
1973-04-30,5.57384544404554
1973-05-31,5.682552409374864
1973-06-29,5.916901473431707
1973-07-31,6.418814867273593
1973-08-31,6.153225335704096
1973-09-28,5.53128836439676
1973-10-31,5.735892378253157
1973-11-30,5.867652291372165
1973-12-31,5.721377243229139
1974-01-31,5.66609268420484
1974-02-28,5.80789951332286
1974-03-29,6.32492089814512
1974-04-30,6.6052953998097195
1974-05-31,6.455538266778239
