date,value
1992-05-01,101.847639487265
1992-06-01,102.120799849855
1992-07-01,102.340612031232
1992-08-01,102.504045451029
1992-09-01,102.615514041013
1992-10-01,102.68188343148
1992-11-01,102.699480515388
1992-12-01,102.677210882227
1993-01-01,102.623684051452
1993-02-01,102.543378032986
1993-03-01,102.423436258252
1993-04-01,102.245003089279
1993-05-01,102.000025090811
1993-06-01,101.685184770966
1993-07-01,101.308427770686
1993-08-01,100.915556586732
1993-09-01,100.576252108317
1993-10-01,100.331039137833
1993-11-01,100.200160993783
1993-12-01,100.176314940892
1994-01-01,100.214055465033
1994-02-01,100.2793214104
1994-03-01,100.348827717258
1994-04-01,100.402036393006
1994-05-01,100.41878142153
1994-06-01,100.398803439405
1994-07-01,100.347001241879
1994-08-01,100.283838129582
1994-09-01,100.235939176135
1994-10-01,100.220359959408
1994-11-01,100.25731607364
1994-12-01,100.348564196076
1995-01-01,100.500564575917
1995-02-01,100.697380839585
1995-03-01,100.891816559146
1995-04-01,101.072009562671
1995-05-01,101.226186416423
1995-06-01,101.356702457438
1995-07-01,101.473581571124
1995-08-01,101.570849263178
1995-09-01,101.631733583426
1995-10-01,101.647997321498
1995-11-01,101.611624980849
1995-12-01,101.515718842396
1996-01-01,101.363669427281
1996-02-01,101.167625261649
1996-03-01,100.956020534645
1996-04-01,100.758931115293
1996-05-01,100.602929607572
1996-06-01,100.506528260234
1996-07-01,100.469431590016
1996-08-01,100.49945000536
1996-09-01,100.553432165462
1996-10-01,100.602635948422
1996-11-01,100.615917559752
1996-12-01,100.562494629057
1997-01-01,100.407406007008
1997-02-01,100.149793797638
1997-03-01,99.8022512752658
1997-04-01,99.3891046599346
1997-05-01,98.9455671674652
1997-06-01,98.5032715057537
1997-07-01,98.0782037098682
1997-08-01,97.6780655297753
1997-09-01,97.3253060500632
1997-10-01,97.032550200188
1997-11-01,96.7978609221023
1997-12-01,96.6170370254576
1998-01-01,96.488020543834
1998-02-01,96.4385554712179
1998-03-01,96.4823450980309
1998-04-01,96.6219566109522
1998-05-01,96.8475642708944
1998-06-01,97.1399376136058
1998-07-01,97.4845614186657
1998-08-01,97.8633533344632
1998-09-01,98.2367092562858
1998-10-01,98.5698576216348
1998-11-01,98.8339119125401
1998-12-01,99.0288838656745
1999-01-01,99.1685624194804
1999-02-01,99.3491358691673
