date,value
1961-06-30,0.163828986441716
1961-07-31,0.409683123657563
1961-08-31,0.29935126833987
1961-09-29,0.203704038818819
1961-10-31,0.302368111605343
1961-11-30,0.0817208343776823
1961-12-29,-0.134031628106659
1962-01-31,0.16421265657498
1962-02-28,0.160760025238471
1962-03-30,0.292943607655654
1962-04-30,0.0685031845301176
1962-05-31,0.358439763989988
1962-06-29,0.239584289172475
1962-07-31,0.303932875498763
1962-08-31,0.419465934263686
1962-09-28,0.465576479776451
1962-10-31,0.475879614464506
1962-11-30,0.39824988889003
1962-12-31,0.391562614767058
1963-01-31,0.212543287730115
1963-02-28,0.390811621421584
1963-03-29,0.400909720721085
1963-04-30,0.28622417589855
1963-05-31,0.231274401416997
1963-06-28,0.263692314384761
1963-07-31,0.0680030671885192
1963-08-30,0.155282876122451
1963-09-30,0.173726678716499
1963-10-31,0.233727444891807
1963-11-29,0.011405720391565
1963-12-31,0.0279726118583694
1964-01-31,0.0964836395071824
1964-02-28,0.114971229889087
1964-03-31,0.180999080597934
1964-04-30,0.158369932767733
1964-05-28,0.108031985624081
1964-06-30,0.100029406917644
1964-07-31,0.36302401515544
1964-08-31,0.256423717163435
1964-09-30,0.0875255767022409
1964-10-30,0.0806737172937808
1964-11-30,-0.0540552042313642
1964-12-31,0.0049238397762456
1965-01-29,0.285545884456389
1965-02-26,0.187622367721842
1965-03-31,0.0673752812058472
1965-04-30,0.0219948519663671
1965-05-28,-0.0020735575968764
1965-06-30,0.0579522084616029
1965-07-30,0.0614885750399843
1965-08-31,0.0215777696779726
1965-09-30,0.208886775500199
1965-10-29,0.11394919806762
1965-11-30,0.0830323994589746
1965-12-31,0.208097906292124
1966-01-31,0.290780597225837
1966-02-28,0.472199790867941
1966-03-31,0.304459597841523
1966-04-29,0.284088467169181
1966-05-31,0.231655979305463
1966-06-30,0.391132746145168
1966-07-29,0.475820161489749
1966-08-31,0.658965898060083
1966-09-30,0.418621743239819
1966-10-31,0.321195941715741
1966-11-30,0.391359798922497
1966-12-30,0.14617498973493
1967-01-31,0.158945889702389
1967-02-28,0.259870877525341
1967-03-31,0.172812194101171
1967-04-28,0.508560984411407
1967-05-31,0.497102509326829
1967-06-30,0.674297822187258
1967-07-31,0.408851588276979
1967-08-31,0.601961414997294
1967-09-29,0.548138042204016
1967-10-31,0.802036750117638
1967-11-30,0.742579190919183
1967-12-29,0.726450376688685
1968-01-31,0.730111741441748
1968-02-29,0.728517070358891
1968-03-29,0.862390960581791
1968-04-30,0.802954641388379
1968-05-31,0.710921642469939
1968-06-28,1.30391165132323
1968-07-31,1.61736144563245
1968-08-30,0.714352627017954
1968-09-30,0.711122076040324
1968-10-31,0.793767714982607
1968-11-29,0.705607281845542
1968-12-31,0.839035598979027
1969-01-31,0.848300204964094
1969-02-28,0.631185261126322
1969-03-28,1.11217932867582
1969-04-30,0.938076974002743
1969-05-29,1.00754717057891
1969-06-30,0.788757437585738
1969-07-31,0.283783164894456
1969-08-29,0.633764926243419
1969-09-30,0.846261732772191
1969-10-31,0.168477550606889
